ECG,EMG,HR,RESP,Seconds,footGSR,handGSR,interval in seconds,marker,newtime,stress,time,NNRR,AVNN,SDNN,RMSSD,pNN50,TP,ULF,VLF,LF,HF,LF_HF
-0.048181818,-0.004068182,85.13636364,11.28372727,408.4883409,1.409272727,5.919045455,0.71,,408.4883409,0,408.4883409,0.977273,0.71,,0,0,,0,,,,
-0.014681818,-0.004409091,83.68181818,11.33286364,429.4751136,1.37425,5.761590909,0.71,,429.4751136,0,429.4751136,0.977273,0.71,,0,0,,0,,,,
-0.06,-0.004522727,82.68181818,11.33595455,450.8020682,1.340181818,5.58225,0.71,,450.8020682,0,450.8020682,0.977273,0.71,,0,0,,0,,,,
-0.025204545,-0.005227273,88.11363636,11.35690909,471.1554091,1.311477273,5.407454545,0.71,,471.1554091,0,471.1554091,0.977273,0.71,,0,0,,0,,,,
-0.026363636,-0.005113636,84.61363636,11.43113636,492.1348636,1.284636364,5.2575,0.71,,492.1348636,0,492.1348636,0.977273,0.71,,0,0,,0,,,,
-0.003886364,-0.002954545,82.38636364,11.39877273,513.7390227,1.258363636,5.124636364,0.71,,513.7390227,0,513.7390227,0.977273,0.71,,0,0,,0,,,,
-0.003772727,-0.003886364,84.95454545,11.40540909,534.7273182,1.2345,5.04125,0.71,,534.7273182,0,534.7273182,0.977273,0.71,,0,0,,0,,,,
-0.011545455,-0.004068182,84.09090909,11.31927273,556.81675,1.211727273,4.976045455,0.71,,556.81675,0,556.81675,0.977273,0.71,,0,0,,0,,,,
0.002090909,-0.003522727,86.45454545,11.35895455,578.8108864,1.190863636,4.904,0.71,,578.8108864,0,578.8108864,0.977273,0.71,,0,0,,0,,,,
0.019227273,-0.006727273,80.97727273,11.28954545,600.1935227,1.173204545,4.871681818,0.71,,600.1935227,0,600.1935227,0.977273,0.71,,0,0,,0,,,,
0.048204545,-0.00575,78.75,11.2165,622.3196364,1.157295455,4.841659091,0.71,,622.3196364,0,622.3196364,0.977273,0.71,,0,0,,0,,,,
0.025590909,-0.004477273,87.31818182,11.17995455,643.5675,1.141545455,4.795045455,0.71,,643.5675,0,643.5675,0.977273,0.71,,0,0,,0,,,,
0.020568182,-0.004909091,84.84090909,11.17686364,664.8826818,1.126772727,4.776636364,0.695227273,,664.8826818,0,664.8826818,0.977273,0.694884,0.0277851,0.0100297,0.0238095,0.000814801,0,0.000399329,0.000363894,5.16E-05,7.0552
-0.006957447,-0.077425532,92.65957447,11.31080851,685.8777234,1.793829787,10.16234043,0.651914894,,685.8777234,0,685.8777234,0.978723,0.650652,0.0185175,0.00968963,0.0222222,0.000292897,0,7.68E-05,0.000148707,6.74E-05,2.20564
0.014367347,-0.005081633,92.20408163,11.32432653,706.742551,2.972510204,21.2794898,0.605816327,,706.742551,0.693877551,706.742551,0.979592,0.605,0.0313117,0.00933536,0.0212766,0.000974108,0,0.000732261,0.000196795,4.51E-05,4.3681
0.06432,-0.00794,168.84,11.36584,726.0942,3.69256,22.3258,0.581,,726.0942,1,726.0942,0.98,0.581,7.84E-09,0,0,,0,,,,
-0.06516,-0.00844,142.12,11.4282,745.13934,5.48812,25.94972,0.581,,745.13934,1,745.13934,0.98,0.581,7.84E-09,0,0,,0,,,,
0.020979592,-0.006020408,109.5714286,11.49510204,764.413449,5.147183673,24.82714286,0.604510204,,764.413449,1,764.413449,0.979592,0.605,0.0313117,0.00933536,0.0212766,0.000974591,0,0.000733782,0.000194815,4.60E-05,4.23574
-0.002404255,-0.005489362,103.6595745,11.41068085,784.3679149,4.278957447,21.18155319,0.645,,784.3679149,1,784.3679149,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.024553191,-0.005042553,139.4042553,11.35421277,803.8023404,4.164744681,21.42848936,0.645,,803.8023404,1,803.8023404,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.073553191,-0.005744681,150.2978723,11.31242553,823.9148298,4.333893617,22.83019149,0.645,,823.9148298,1,823.9148298,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.040276596,-0.005297872,105.1702128,11.28702128,846.1043191,3.572085106,20.56565957,0.645,,846.1043191,1,846.1043191,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.0045,-0.00473913,119.5869565,11.29521739,868.9467174,3.038086957,19.27752174,0.654891304,,868.9467174,0.826086957,868.9467174,0.978261,0.655111,0.0238244,0.013858,0.0454545,0.000574142,0,0.00020489,0.000319456,4.98E-05,6.41529
-0.028045455,-0.004272727,120.2272727,11.34013636,891.0821364,2.943090909,19.12252273,0.69375,,891.0821364,0.431818182,891.0821364,0.977273,0.694884,0.0277851,0.017372,0.0714286,0.000724442,0,0.000205531,0.000441129,7.78E-05,5.67137
-0.003863636,-0.004227273,92.11363636,11.0765,911.4707045,3.695318182,21.39022727,0.71,,911.4707045,0.454545455,911.4707045,0.977273,0.71,,0,0,,0,,,,
-0.010090909,-0.005636364,101.8863636,11.12959091,931.9296818,4.421045455,23.94513636,0.71,,931.9296818,1,931.9296818,0.977273,0.71,,0,0,,0,,,,
-0.008022222,-0.003955556,93.13333333,11.36546667,952.9606222,4.076666667,22.37091111,0.678222222,,952.9606222,1,952.9606222,0.977778,0.6775,0.0328757,0.0171688,0.0697674,0.00104038,0,0.000609423,0.00030683,0.000124124,2.47196
-0.002978723,-0.006,114.6170213,11.23612766,974.934766,4.060553191,20.9067234,0.645,,974.934766,1,974.934766,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.072702128,-0.005723404,115.9361702,11.40885106,997.419383,3.717595745,19.66548936,0.645,,997.419383,1,997.419383,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.002638298,-0.00493617,87.55319149,11.47417021,1018.881319,3.326489362,18.79880851,0.645,,1018.881319,1,1018.881319,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.028574468,-0.004808511,115.4468085,11.45906383,1041.23134,3.158361702,19.0223617,0.645,,1041.23134,0.978723404,1041.23134,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.021446809,-0.003510638,133.0425532,11.38029787,1063.700809,3.182234043,19.65142553,0.645,,1063.700809,1,1063.700809,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.022744681,-0.003531915,92.19148936,11.09638298,1085.929936,3.696382979,21.38995745,0.645,,1085.929936,1,1085.929936,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.03673913,-0.007804348,99.02173913,11.22378261,1108.006935,3.983804348,22.08258696,0.652065217,,1108.006935,1,1108.006935,0.978261,0.652222,0.0206584,0.013858,0.0454545,0.000406765,0,0.000103211,0.000223112,8.04E-05,2.77356
0.016652174,-0.005717391,113.7391304,11.58882609,1129.534348,4.174913043,22.13680435,0.654891304,,1129.534348,1,1129.534348,0.978261,0.655111,0.0238244,0.0195982,0.0909091,0.000521142,0,0.000153929,0.000211,0.000156213,1.35072
0.002431818,-0.003840909,96.47727273,11.17686364,1151.777205,3.283795455,20.21445455,0.681931818,,1151.777205,1,1151.777205,0.977273,0.682791,0.032446,0.0100297,0.0238095,0.00108472,0,0.000809988,0.000193053,8.17E-05,2.3635
0.027681818,-0.003704545,87.36363636,11.42090909,1172.495568,3.165636364,20.07031818,0.698181818,,1172.495568,1,1172.495568,0.977273,0.697907,0.0255937,0.0200594,0.0952381,0.000549588,0,0.000228457,0.000249217,7.19E-05,3.46549
-0.001113636,-0.004886364,85.38636364,11.51527273,1193.112932,3.083704545,19.36122727,0.689318182,,1193.112932,0.863636364,1193.112932,0.977273,0.688837,0.0308189,0.0283683,0.190476,0.00079533,0,0.000370342,0.00024368,0.000181307,1.34402
-0.056772727,-0.004636364,90.95454545,11.50722727,1213.008818,3.394590909,20.59261364,0.704090909,,1213.008818,0.931818182,1213.008818,0.977273,0.703953,0.0191037,0.0100297,0.0238095,0.00032235,0,8.89E-05,0.000154913,7.85E-05,1.97353
-0.051521739,-0.004695652,77.91304348,11.41091304,1233.479674,3.464347826,20.83319565,0.660543478,,1233.479674,1,1233.479674,0.978261,0.659444,0.0273284,0.00979912,0.0227273,0.000765472,0,0.000387917,0.000317419,6.01E-05,5.27841
0.001829787,-0.005255319,82.78723404,11.36114894,1254.958149,3.276,20.19887234,0.645,,1254.958149,1,1254.958149,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.026510638,-0.005851064,117,11.45378723,1276.041149,3.465617021,20.68438298,0.645,,1276.041149,1,1276.041149,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.026340426,-0.005042553,122.5531915,11.46293617,1297.931404,3.887085106,21.45312766,0.645,,1297.931404,1,1297.931404,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.04993617,-0.005574468,104.1276596,11.48629787,1321.11466,3.751489362,21.07344681,0.645,,1321.11466,1,1321.11466,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.011425532,-0.00606383,121.7446809,11.5153617,1344.123532,3.59006383,20.39393617,0.645,,1344.123532,1,1344.123532,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.043021277,-0.006680851,91.40425532,11.35438298,1366.593,3.549978723,20.45961702,0.645,,1366.593,1,1366.593,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.003702128,-0.007425532,91.04255319,11.33217021,1389.122894,3.572574468,20.54882979,0.645,,1389.122894,1,1389.122894,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.015085106,-0.004787234,103.5106383,12.18425532,1411.983532,3.409042553,20.10755319,0.645,,1411.983532,1,1411.983532,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.003382979,-0.003829787,89.87234043,12.24331915,1433.379617,4.235851064,21.85921277,0.645,,1433.379617,1,1433.379617,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.02712766,-0.00412766,112.2553191,11.80289362,1453.960213,4.297914894,22.21223404,0.645,,1453.960213,1,1453.960213,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.036021277,-0.004489362,92.36170213,11.42025532,1476.024766,3.607723404,20.47789362,0.645,,1476.024766,1,1476.024766,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.011978723,-0.005212766,87.70212766,11.78510638,1499.132489,3.44512766,20.19602128,0.645,,1499.132489,1,1499.132489,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.084765957,-0.006765957,91.4893617,11.95468085,1521.265617,3.670957447,20.47578723,0.645,,1521.265617,1,1521.265617,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.042106383,-0.006106383,94.40425532,11.74838298,1542.300681,3.728234043,20.45895745,0.645,,1542.300681,1,1542.300681,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.039659574,-0.005212766,100.4680851,11.83165957,1562.584787,3.746489362,21.0842766,0.645,,1562.584787,1,1562.584787,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.014680851,-0.005851064,111.8723404,11.66034043,1583.578574,4.083319149,21.27406383,0.645,,1583.578574,1,1583.578574,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.017574468,-0.005212766,115.5106383,11.81131915,1604.227872,4.180148936,20.73868085,0.645,,1604.227872,1,1604.227872,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.003191489,-0.006,105.9787234,11.32617021,1624.243,4.235893617,21.35385106,0.645,,1624.243,1,1624.243,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.021851064,-0.005893617,93.65957447,11.61680851,1646.462553,3.799638298,21.15259574,0.645,,1646.462553,1,1646.462553,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.003319149,-0.006255319,93.44680851,11.54314894,1668.803021,3.460702128,20.01819149,0.645,,1668.803021,1,1668.803021,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.041553191,-0.004702128,89.85106383,11.3927234,1691.603298,3.193276596,19.33610638,0.645,,1691.603298,1,1691.603298,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.027466667,-0.005777778,88.44444444,11.67164444,1713.027956,3.861955556,20.68395556,0.671,,1713.027956,1,1713.027956,0.977778,0.671591,0.0323278,0.0242803,0.139535,0.000990187,0,0.00040024,0.000328734,0.000261213,1.25849
-0.006977778,-0.004911111,85.8,11.56257778,1733.579956,4.423022222,21.31611111,0.694111111,,1733.579956,1,1733.579956,0.977778,0.69375,0.0284712,0.0198248,0.0930233,0.000753365,0,0.000219646,0.000404381,0.000129338,3.12654
0.0015,-0.003295455,88.38636364,11.969,1755.093864,3.880909091,21.24009091,0.71,,1755.093864,1,1755.093864,0.977273,0.71,,0,0,,0,,,,
-0.007272727,-0.004136364,90.54545455,12.19109091,1775.967727,3.734590909,21.08815909,0.71,,1775.967727,1,1775.967727,0.977273,0.71,,0,0,,0,,,,
0.005818182,-0.006795455,104.8409091,11.975,1797.413455,3.284568182,20.07075,0.71,,1797.413455,1,1797.413455,0.977273,0.71,,0,0,,0,,,,
-0.013204545,-0.005818182,121.8409091,12.06895455,1818.941341,3.052113636,19.12745455,0.699659091,,1818.941341,0.931818182,1818.941341,0.977273,0.699419,0.0242803,0.0100297,0.0238095,0.000592118,0,0.000235289,0.000261108,9.57E-05,2.72781
-0.030808511,-0.004680851,91.89361702,11.90502128,1840.878489,2.898638298,18.73595745,0.65606383,,1840.878489,0.255319149,1840.878489,0.978723,0.654891,0.0236053,0.00968963,0.0222222,0.000575757,0,0.000235035,0.000286479,5.42E-05,5.28139
0.007553191,-0.005510638,88.80851064,11.90582979,1863.632149,2.802340426,19.09544681,0.645,,1863.632149,0,1863.632149,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.017042553,-0.00506383,88.0212766,11.81897872,1885.128319,2.787702128,19.98082979,0.645,,1885.128319,0,1885.128319,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.017244444,-0.005688889,89.71111111,11.56711111,1906.729733,2.663,20.41106667,0.679666667,,1906.729733,0,1906.729733,0.977778,0.680455,0.0327396,0.00991241,0.0232558,0.00111096,0,0.000834307,0.000196501,8.02E-05,2.45159
0.008431818,-0.004090909,83.97727273,11.50818182,1927.309364,2.577204545,20.53581818,0.699659091,,1927.309364,0,1927.309364,0.977273,0.699419,0.0242803,0.0100297,0.0238095,0.000578726,0,0.000232901,0.00029662,4.92E-05,6.02835
-0.006085106,-0.004382979,84.55319149,11.58804255,1948.881298,2.680510638,21.33844681,0.65606383,,1948.881298,0.106382979,1948.881298,0.978723,0.654891,0.0236053,0.00968963,0.0222222,0.000545116,0,0.000211628,0.000287525,4.60E-05,6.2556
-0.073765957,-0.005595745,88.70212766,11.74821277,1969.665128,3.501617021,24.10934043,0.636829787,,1969.665128,0.787234043,1969.665128,0.978723,0.636652,0.0217922,0.00954056,0.0222222,0.000473685,0,0.000152952,0.000246704,7.40E-05,3.33251
0.02292,-0.00544,98.38,11.63792,1989.76,3.46594,23.7947,0.59252,,1989.76,1,1989.76,0.98,0.591449,0.0239,0.0092376,0.0208333,0.000557191,0,0.000226,0.000285053,4.61E-05,6.17826
-0.02882,-0.00404,138.86,11.6978,2010.97672,3.20606,22.5019,0.58228,,2010.97672,1,2010.97672,0.98,0.582306,0.00914286,0.0130639,0.0416667,3.93E-05,0,1.83E-06,1.19E-05,2.56E-05,0.464669
0.0135,-0.004854167,97.375,12.156375,2032.671979,3.1015625,22.434125,0.609,,2032.671979,1,2032.671979,0.979167,0.609596,0.0321624,0.00943629,0.0217391,0.00108591,0,0.000800498,0.000227216,5.82E-05,3.90446
0.025021277,-0.005021277,121.5319149,12.03910638,2053.932745,3.671021277,24.09119149,0.642276596,,2053.932745,1,2053.932745,0.978723,0.642217,0.0131958,0.0165247,0.0666667,7.33E-05,0,1.86E-05,3.02E-05,2.45E-05,1.23423
0.016255319,-0.004744681,94.68085106,11.84557447,2074.369319,3.981531915,23.74491489,0.640914894,,2074.369319,1,2074.369319,0.978723,0.640826,0.0159768,0.0190811,0.0888889,0.000157899,0,1.98E-05,6.40E-05,7.41E-05,0.863129
0.032468085,-0.004914894,90.9787234,11.90229787,2093.997255,4.043085106,23.46431915,0.645,,2093.997255,1,2093.997255,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.034086957,-0.005782609,82.54347826,11.56043478,2115.493652,3.552652174,22.28682609,0.654891304,,2115.493652,1,2115.493652,0.978261,0.655111,0.0238244,0.00979912,0.0227273,0.000580896,0,0.000242914,0.000284933,5.30E-05,5.3712
-0.018590909,-0.004840909,81.36363636,11.82981818,2138.340136,3.29175,21.24115909,0.698181818,,2138.340136,1,2138.340136,0.977273,0.699419,0.0242803,0.0100297,0.0238095,0.000578604,0,0.000261992,0.000226484,9.01E-05,2.51293
-0.0016,-0.004711111,97.88888889,11.92346667,2159.491067,3.028511111,20.05544444,0.682555556,,2159.491067,0.711111111,2159.491067,0.977778,0.681932,0.0325686,0.00991241,0.0232558,0.00111227,0,0.000818524,0.00020107,9.27E-05,2.16967
0.018595745,-0.00512766,129.7446809,12.08531915,2181.423447,2.81787234,19.35744681,0.645,,2181.423447,0.042553191,2181.423447,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.017595745,-0.004808511,102.106383,11.93680851,2203.044532,2.674382979,18.80004255,0.645,,2203.044532,0,2203.044532,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.014170213,-0.004276596,86.31914894,12.15906383,2225.409723,2.534957447,18.05589362,0.645,,2225.409723,0,2225.409723,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.021829787,-0.005234043,121.7021277,12.10855319,2246.903213,2.442808511,17.78982979,0.645,,2246.903213,0,2246.903213,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.011468085,-0.006659574,125.9148936,12.07302128,2267.776255,2.937085106,20.93151064,0.645,,2267.776255,0.382978723,2267.776255,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.079106383,-0.003723404,88.93617021,11.93204255,2289.717277,3.432510638,23.67685106,0.645,,2289.717277,1,2289.717277,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.025255319,-0.004808511,85.08510638,11.90187234,2312.855213,3.030702128,22.16182979,0.645,,2312.855213,0.723404255,2312.855213,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.010042553,-0.005106383,96.31914894,12.01978723,2334.702766,2.910829787,21.68085106,0.645,,2334.702766,0.212765957,2334.702766,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.024234043,-0.004468085,90.55319149,11.86387234,2356.134511,2.976170213,21.83706383,0.645,,2356.134511,0.489361702,2356.134511,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.024744681,-0.004468085,88.91489362,11.71489362,2377.674702,3.055382979,22.17285106,0.645,,2377.674702,0.723404255,2377.674702,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.027553191,-0.005659574,89.59574468,11.86731915,2399.336957,3.269042553,22.41559574,0.645,,2399.336957,1,2399.336957,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.011319149,-0.002829787,71.25531915,11.92246809,2419.669213,3.543489362,23.44057447,0.645,,2419.669213,1,2419.669213,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.022804348,-0.004565217,92.52173913,11.7273913,2440.461391,3.337826087,22.25747826,0.666195652,,2440.461391,1,2440.461391,0.978261,0.666667,0.0309875,0.00979912,0.0227273,0.000955015,0,0.000673962,0.000221968,5.91E-05,3.7567
-0.023113636,-0.005272727,86.59090909,11.70245455,2462.005864,2.976613636,20.79977273,0.71,,2462.005864,0.545454545,2462.005864,0.977273,0.71,,0,0,,0,,,,
-0.009227273,-0.003090909,84.29545455,12.31618182,2482.212591,2.840636364,20.21497727,0.702613636,,2482.212591,0,2482.212591,0.977273,0.702442,0.0210829,0.0100297,0.0238095,0.000405138,0,0.000132448,0.000199893,7.28E-05,2.74587
-0.020851064,-0.003787234,90.55319149,12.03425532,2503.380872,2.707765957,19.454,0.658829787,,2503.380872,0,2503.380872,0.978723,0.657717,0.0260706,0.00968963,0.0222222,0.000699083,0,0.000349741,0.000299241,5.01E-05,5.97274
0.004510638,-0.005574468,118.3617021,12.01885106,2525.778915,2.594319149,18.92814894,0.645,,2525.778915,0,2525.778915,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.026723404,-0.005851064,101.893617,11.9592766,2547.520894,2.505319149,18.42789362,0.645,,2547.520894,0,2547.520894,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.003468085,-0.005787234,91.29787234,11.89519149,2568.868957,2.473297872,19.09419149,0.645,,2568.868957,0,2568.868957,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.010217391,-0.004,117.7608696,11.83713043,2590.112152,3.110847826,23.93826087,0.653478261,,2590.112152,0.630434783,2590.112152,0.978261,0.653667,0.0223454,0.00979912,0.0227273,0.000452421,0,0.000176616,0.000217291,5.85E-05,3.71354
-0.023681818,-0.004545455,98.36363636,12.23190909,2611.291886,3.092386364,23.03288636,0.696704545,,2611.291886,0.704545455,2611.291886,0.977273,0.697907,0.0255937,0.0100297,0.0238095,0.000658355,0,0.000302034,0.00029432,6.20E-05,4.74707
-0.0115,-0.004704545,95.90909091,11.89145455,2632.517614,2.800840909,21.55125,0.708522727,,2632.517614,0.045454545,2632.517614,0.977273,0.708488,0.00991241,0.0141842,0.047619,5.32E-05,0,2.32E-06,1.67E-05,3.42E-05,0.48876
-0.010391304,-0.005347826,115.5217391,11.85169565,2654.180935,2.67926087,21.53743478,0.670434783,,2654.180935,0,2654.180935,0.978261,0.669556,0.0318702,0.00979912,0.0227273,0.00106145,0,0.000764418,0.000237531,5.95E-05,3.99229
-0.025382979,-0.005361702,87.93617021,11.93017021,2675.998596,2.795553191,23.6866383,0.645,,2675.998596,0.191489362,2675.998596,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.001234043,-0.00312766,113.4468085,11.84404255,2696.701426,3.54287234,27.65285106,0.645,,2696.701426,0.872340426,2696.701426,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.052659574,-0.004574468,105.0851064,12.08919149,2715.71583,4.57712766,28.64076596,0.645,,2715.71583,1,2715.71583,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.075851064,-0.006723404,132.4468085,11.95191489,2735.384979,4.482574468,27.12853191,0.645,,2735.384979,1,2735.384979,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.011425532,-0.006148936,171.2765957,11.84476596,2756.521617,3.990574468,25.27819149,0.645,,2756.521617,1,2756.521617,0.978723,0.645,2.24E-08,0,0,,0,,,,
-0.03125,-0.005590909,121.6136364,11.58959091,2778.844591,3.526954545,23.54472727,0.683409091,,2778.844591,1,2778.844591,0.977273,0.684302,0.0321563,0.0100297,0.0238095,0.00108665,0,0.000862071,0.000155805,6.88E-05,2.2654
0.015568182,-0.005886364,90.20454545,11.87359091,2800.104136,3.456204545,23.79322727,0.702613636,,2800.104136,1,2800.104136,0.977273,0.702442,0.0210829,0.0141842,0.047619,0.00033704,0,0.000120764,0.000191648,2.46E-05,7.78136
0.008113636,-0.006068182,81.56818182,11.58563636,2821.118727,3.4555,23.53704545,0.699659091,,2821.118727,1,2821.118727,0.977273,0.699419,0.0242803,0.0200594,0.0952381,0.000446204,0,0.000106386,0.000243702,9.61E-05,2.5355
-0.022113636,-0.006409091,94.31818182,11.36359091,2841.080591,3.242431818,22.53879545,0.71,,2841.080591,1,2841.080591,0.977273,0.71,,0,0,,0,,,,
0.004266667,-0.004822222,83.22222222,11.71155556,2861.255956,3.063688889,21.96968889,0.675333333,,2861.255956,0.977777778,2861.255956,0.977778,0.674545,0.0327396,0.00991241,0.0232558,0.00109731,0,0.000838608,0.000188752,6.99E-05,2.69843
0.007565217,-0.004108696,85.67391304,11.74378261,2882.399761,2.936217391,22.30693478,0.653478261,,2882.399761,0.391304348,2882.399761,0.978261,0.653667,0.0223454,0.013858,0.0454545,0.000470288,0,6.76E-05,0.000332477,7.02E-05,4.7369
-0.000851064,-0.002914894,74.14893617,11.85412766,2903.271128,3.026553191,23.17376596,0.645,,2903.271128,0.765957447,2903.271128,0.978723,0.645,2.24E-08,0,0,,0,,,,
0.027829787,-0.005893617,92.08510638,11.77093617,2925.641702,3.151468085,23.32782979,0.645,,2925.641702,1,2925.641702,0.978723,0.645,2.24E-08,0,0,,0,,,,
